co_id,year_quarter,account_code,account_name_cn,period_q_current,yoy_pct
1102,2026Q1,8370,採用權益法認列之關聯企業及合資之其他綜合損益之份額－可能重分類至損益之項目,1489820.0,68.95
1102,2026Q1,8500,本期綜合損益總額,5677075.0,31.67
1102,2026Q1,8610,母公司業主（淨利／損）,1887022.0,38.32
1102,2026Q1,8620,非控制權益（淨利／損）,-95720.0,-530.28
1102,2026Q1,8710,母公司業主（綜合損益）,5016509.0,26.62
1102,2026Q1,8720,非控制權益（綜合損益）,660566.0,89.0
1102,2026Q1,9710,繼續營業單位淨利（淨損）,0.56,36.59
1102,2026Q1,9750,基本每股盈餘合計,0.56,36.59
1102,2026Q1,9810,繼續營業單位淨利（淨損）,0.56,36.59
1102,2026Q1,9850,稀釋每股盈餘合計,0.56,36.59
1102,2026Q2,4000,營業收入合計,17830519.0,
1102,2026Q2,5000,營業成本合計,15329480.0,
1102,2026Q2,5900,營業毛利（毛損）,2501039.0,
1102,2026Q2,5950,營業毛利（毛損）淨額,2501039.0,
1102,2026Q2,6000,營業費用合計,789731.0,
1102,2026Q2,6200,管理費用,781598.0,
1102,2026Q2,6450,預期信用減損損失（利益）,8133.0,
1102,2026Q2,6900,營業利益（損失）,1711308.0,
1102,2026Q2,7000,營業外收入及支出合計,3811818.0,
1102,2026Q2,7010,其他收入合計,117036.0,
1102,2026Q2,7020,其他利益及損失淨額,2459429.0,
1102,2026Q2,7050,財務成本淨額,409572.0,
1102,2026Q2,7060,採用權益法認列之關聯企業及合資損益之份額淨額,1394540.0,
1102,2026Q2,7100,利息收入合計,250385.0,
1102,2026Q2,7900,繼續營業單位稅前淨利（淨損）,5523126.0,
1102,2026Q2,7950,所得稅費用（利益）合計,283964.0,
1102,2026Q2,8000,繼續營業單位本期淨利（淨損）,5239162.0,
1102,2026Q2,8200,本期淨利（淨損）,5239162.0,
1102,2026Q2,8300,其他綜合損益（淨額）,2319284.0,
1102,2026Q2,8310,不重分類至損益之項目總額,1484491.0,
1102,2026Q2,8316,透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,980973.0,
1102,2026Q2,8320,採用權益法認列之關聯企業及合資之其他綜合損益之份額－不重分類至損益之項目,503518.0,
1102,2026Q2,8360,後續可能重分類至損益之項目總額,834793.0,
1102,2026Q2,8361,國外營運機構財務報表換算之兌換差額,818034.0,
1102,2026Q2,8370,採用權益法認列之關聯企業及合資之其他綜合損益之份額－可能重分類至損益之項目,16759.0,
1102,2026Q2,8500,本期綜合損益總額,7558446.0,
1102,2026Q2,8610,母公司業主（淨利／損）,5226685.0,
1102,2026Q2,8620,非控制權益（淨利／損）,12477.0,
1102,2026Q2,8710,母公司業主（綜合損益）,7291878.0,
1102,2026Q2,8720,非控制權益（綜合損益）,266568.0,
1102,2026Q2,9710,繼續營業單位淨利（淨損）,1.57,
1102,2026Q2,9750,基本每股盈餘合計,1.57,
1102,2026Q2,9810,繼續營業單位淨利（淨損）,1.57,
1102,2026Q2,9850,稀釋每股盈餘合計,1.57,
1103,2025Q1,4000,營業收入合計,752475.0,
1103,2025Q1,5000,營業成本合計,631715.0,
1103,2025Q1,5900,營業毛利（毛損）,120760.0,
1103,2025Q1,5950,營業毛利（毛損）淨額,120760.0,
1103,2025Q1,6000,營業費用合計,128918.0,
1103,2025Q1,6100,推銷費用,11628.0,
1103,2025Q1,6200,管理費用,117798.0,
1103,2025Q1,6450,預期信用減損損失(利益),-508.0,
1103,2025Q1,6900,營業利益（損失）,-8158.0,
1103,2025Q1,7000,營業外收入及支出合計,103243.0,
1103,2025Q1,7010,其他收入合計,17880.0,
1103,2025Q1,7020,其他利益及損失淨額,54445.0,
1103,2025Q1,7050,財務成本淨額,55967.0,
1103,2025Q1,7060,採用權益法認列之關聯企業及合資損益之份額淨額,45297.0,
1103,2025Q1,7100,利息收入合計,41588.0,
1103,2025Q1,7900,繼續營業單位稅前淨利（淨損）,95085.0,
1103,2025Q1,7950,所得稅費用（利益）合計,9938.0,
1103,2025Q1,8000,繼續營業單位本期淨利（淨損）,85147.0,
1103,2025Q1,8200,本期淨利（淨損）,85147.0,
