stock_id,stock_name,market,asset_type,isin_status,note
00749B,凱基新興債10+,上櫃,bond,active,skip
00750B,凱基科技債10+,上櫃,bond,active,skip
00751B,元大AAA至A公司債,上櫃,bond,active,skip
00752,中信中國50,上市,equity,active,
00753L,中信中國50正2,上市,equity,active,
00754B,群益AAA-AA公司債,上櫃,bond,active,skip
00755B,群益投資級公用債,上櫃,bond,active,skip
00756B,群益投等新興公債,上櫃,bond,active,skip
00757,統一FANG+,上市,equity,active,
00758B,復華能源債,上櫃,bond,active,skip
00759B,復華製藥債,上櫃,bond,active,skip
00760B,復華新興企業債,上櫃,bond,active,skip
00761B,國泰A級公司債,上櫃,bond,active,skip
00762,元大全球AI,上市,equity,active,
00763U,期街口道瓊銅,上市,equity,active,
00764B,群益25年美債,上櫃,bond,active,skip
00768B,復華20年美債,上櫃,bond,active,skip
00770,國泰北美科技,上市,equity,active,
00771,元大US高息特別股,上市,equity,active,
00772B,中信高評級公司債,上櫃,bond,active,skip
00773B,中信優先金融債,上櫃,bond,active,skip
00775B,台新投等債15+,上市,bond,active,skip
00777B,凱基AAA至A公司債,上櫃,bond,active,skip
00778B,凱基金融債20+,上櫃,bond,active,skip
00779B,凱基美債25+,上櫃,bond,active,skip
00780B,國泰A級金融債,上櫃,bond,active,skip
00781B,國泰A級科技債,上櫃,bond,active,skip
00782B,國泰A級公用債,上櫃,bond,active,skip
00783,富邦中証500,上市,equity,active,
00785B,富邦金融投等債,上櫃,bond,active,skip
00786B,元大10年IG銀行債,上櫃,bond,active,skip
00787B,元大10年IG醫療債,上櫃,bond,active,skip
00788B,元大10年IG電能債,上櫃,bond,active,skip
00789B,復華公司債A3,上櫃,bond,active,skip
00791B,復華信用債1-5,上櫃,bond,active,skip
00792B,群益A級公司債,上櫃,bond,active,skip
00793B,群益AAA-A醫療債,上櫃,bond,active,skip
00795B,中信美國公債20年,上櫃,bond,active,skip
00799B,國泰A級醫療債,上櫃,bond,active,skip
00830,國泰費城半導體,上市,equity,active,
00834B,第一金金融債10+,上櫃,bond,active,skip
00836B,永豐10年A公司債,上櫃,bond,active,skip
00838B,永豐7-10年中國債,上櫃,bond,active,skip
00840B,凱基IG精選15+,上櫃,bond,active,skip
00841B,凱基AAA-AA公司債,上櫃,bond,active,skip
00842B,台新美元銀行債,上櫃,bond,active,skip
00844B,台新15年IG金融債,上櫃,bond,active,skip
00845B,富邦新興投等債,上櫃,bond,active,skip
00846B,富邦歐洲銀行債,上櫃,bond,active,skip
00847B,中信美國市政債,上櫃,bond,active,skip
00848B,中信新興亞洲債,上櫃,bond,active,skip
00849B,中信EM主權債0-5,上櫃,bond,active,skip
00850,元大臺灣ESG永續,上市,equity,active,
00851,台新全球AI,上市,equity,active,
00852L,國泰美國道瓊正2,上市,equity,active,
00853B,統一美債10年Aa-A,上櫃,bond,active,skip
00856B,永豐1-3年美公債,上櫃,bond,active,skip
00857B,永豐20年美公債,上櫃,bond,active,skip
00858,永豐美國500大,上櫃,equity,active,
00859B,群益0-1年美債,上櫃,bond,active,skip
00860B,群益1-5Y投資級債,上櫃,bond,active,skip
00861,元大全球未來通訊,上市,equity,active,
00862B,中信投資級公司債,上櫃,bond,active,skip
00863B,中信全球電信債,上櫃,bond,active,skip
00864B,中信美國公債0-1,上櫃,bond,active,skip
00865B,國泰US短期公債,上市,bond,active,skip
00867B,台新A-BBB電信債,上櫃,bond,active,skip
00870B,元大15年EM主權債,上櫃,bond,active,skip
00875,國泰網路資安,上市,equity,active,
00876,元大全球5G,上市,equity,active,
00877,復華中國5G,上櫃,equity,active,
00878,國泰永續高股息,上市,equity,active,
00881,國泰台灣科技龍頭,上市,equity,active,
00882,中信中國高股息,上市,equity,active,
00884B,中信低碳新興債,上櫃,bond,active,skip
00885,富邦越南,上市,equity,active,
00886,永豐美國科技,上櫃,equity,active,
00887,永豐中國科技50大,上櫃,equity,active,
00888,永豐台灣ESG,上櫃,equity,active,
00890B,凱基ESG BBB 債 15+,上櫃,bond,active,skip
00891,中信關鍵半導體,上市,equity,active,
00892,富邦台灣半導體,上市,equity,active,
00893,國泰智能電動車,上市,equity,active,
00894,中信小資高價30,上市,equity,active,
00895,富邦未來車,上市,equity,active,
00896,中信綠能及電動車,上市,equity,active,
00897,富邦基因免疫生技,上市,equity,active,
00898,國泰基因免疫革命,上市,equity,active,
00899,FT潔淨能源,上市,equity,active,
00900,富邦特選高股息30,上市,equity,active,
00901,永豐智能車供應鏈,上市,equity,active,
00902,中信電池及儲能,上市,equity,active,
00903,富邦元宇宙,上市,equity,active,
00904,台新臺灣半導體30,上市,equity,active,
00905,FT臺灣SMART,上市,equity,active,
00907,永豐優息存股,上市,equity,active,
00908,富邦入息REITs+,上市,equity,active,
00909,國泰數位支付服務,上市,equity,active,
00910,第一金太空衛星,上市,equity,active,
00911,兆豐洲際半導體,上市,equity,active,
00912,中信臺灣智慧50,上市,equity,active,
00913,兆豐台灣晶圓製造,上市,equity,active,
00915,凱基優選高股息30,上市,equity,active,
00916,國泰全球品牌50,上市,equity,active,
00917,中信特選金融,上市,equity,active,
00918,大華優利高填息30,上市,equity,active,
00919,群益台灣精選高息,上市,equity,active,
00920,富邦ESG綠色電力,上市,equity,active,
00921,兆豐龍頭等權重,上市,equity,active,
00922,國泰台灣領袖50,上市,equity,active,
00923,群益台ESG低碳50,上市,equity,active,
00924,復華S&P500成長,上市,equity,active,
00926,凱基全球菁英55,上市,equity,active,
00927,群益半導體收益,上市,equity,active,
00928,中信上櫃ESG 30,上櫃,equity,active,
00929,復華台灣科技優息,上市,equity,active,
00930,永豐ESG低碳高息,上市,equity,active,
00931B,統一美債20年,上櫃,bond,active,skip
00932,兆豐永續高息等權,上市,equity,active,
00933B,國泰10Y+金融債,上櫃,bond,active,skip
00934,中信成長高股息,上市,equity,active,
00935,野村臺灣新科技50,上市,equity,active,
00936,台新永續高息中小,上市,equity,active,
00937B,群益ESG投等債20+,上櫃,bond,active,skip
00938,凱基優選30,上市,equity,active,
00939,統一台灣高息動能,上市,equity,active,
00940,元大台灣價值高息,上市,equity,active,
00941,中信上游半導體,上市,equity,active,
00942B,台新美A公司債20+,上櫃,bond,active,skip
00943,兆豐電子高息等權,上市,equity,active,
00944,野村趨勢動能高息,上市,equity,active,
00945B,凱基美國非投等債,上市,bond,active,skip
00946,群益科技高息成長,上市,equity,active,
00947,台新臺灣IC設計,上市,equity,active,
00948B,中信優息投資級債,上櫃,bond,active,skip
00949,復華日本龍頭,上市,equity,active,
00950B,凱基A級公司債,上櫃,bond,active,skip
00951,台新日本半導體,上市,equity,active,
00952,凱基台灣AI50,上市,equity,active,
00953B,群益優選非投等債,上市,bond,active,skip
00954,中信日本半導體,上市,equity,active,
00955,中信日本商社,上櫃,equity,active,
00956,中信日經高股息,上市,equity,active,
00957B,兆豐US優選投等債,上櫃,bond,active,skip
00958B,永豐ESG銀行債15+,上櫃,bond,active,skip
00959B,大華投等美債15Y+,上櫃,bond,active,skip
00960,野村全球航運龍頭,上市,equity,active,
00961,FT臺灣永續高息,上市,equity,active,
00962,台新AI優息動能,上市,equity,active,
00963,中信全球高股息,上市,equity,active,
00964,中信亞太高股息,上市,equity,active,
00965,元大航太防衛科技,上市,equity,active,
00966B,統一ESG投等債15+,上櫃,bond,active,skip
00967B,元大優息美債,上櫃,bond,active,skip
00968B,元大優息投等債,上櫃,bond,active,skip
00969B,元大零息超長美債,上櫃,bond,active,skip
00970B,台新BBB投等債20+,上櫃,bond,active,skip
00971,野村美國研發龍頭,上市,equity,active,
00972,野村日本動能高息,上市,equity,active,
009800,中信NASDAQ,上市,equity,active,
009801,中信美國創新科技,上市,equity,active,
009802,富邦旗艦50,上市,equity,active,
009803,玉山市值動能50,上市,equity,active,
009804,聯邦台精彩50,上市,equity,active,
009805,台新美國電力基建,上市,equity,active,
009806,台新標普500,上櫃,equity,active,
009807,台新標普科技精選,上櫃,equity,active,
009808,華南永昌優選50,上市,equity,active,
009809,富邦淨零ESG50,上市,equity,active,
00980A,主動野村臺灣優選,上市,equity,active,
00980B,台新特選IG債10+,上櫃,bond,active,skip
00980D,主動聯博投等入息,上櫃,bond,active,skip
00980T,平衡凱基美國TOP,上櫃,multi_asset,active,
009810,玉山全球藍籌100,上市,equity,active,
009811,統一美國50,上市,equity,active,
009812,野村日本東證,上市,equity,active,
009813,貝萊德標普卓越50,上市,equity,active,
009814,富邦標普500,上櫃,equity,active,
009815,大華美國MAG7+,上櫃,equity,active,
009816,凱基台灣TOP50,上市,equity,active,
009817,國泰日本不動產,上市,equity,active,
009818,華南永昌NASDAQxT,上市,equity,active,
009819,中信數據及電力,上市,equity,active,
00981A,主動統一台股增長,上市,equity,active,
00981B,第一金優選非投債,上櫃,bond,active,skip
00981D,主動中信非投等債,上櫃,bond,active,skip
00981T,平衡凱基雙核收息,上市,multi_asset,active,
009820,元大納斯達克精選,上市,equity,active,
009821,野村稀土關鍵資源,上市,equity,active,
009822,華南永昌未來金融,上櫃,equity,active,
009823,群益S&P500,上櫃,equity,active,
009824,群益美國科技巨頭,上市,equity,active,
009825,聯邦美國金融創新,上櫃,equity,active,
009826,貝萊德世界股票,上市,equity,active,
009827,玉山未來全球算力,上市,equity,active,
009828,中信台日韓PCB,上市,equity,active,
009829,大華韓國KOSPI50,上市,equity,active,
00982A,主動群益台灣強棒,上市,equity,active,
00982B,FT投資級債20+,上櫃,bond,active,skip
00982D,主動富邦動態入息,上市,bond,active,skip
00982T,平衡兆豐台美動能,上市,multi_asset,active,
00983A,主動中信ARK創新,上市,equity,active,
00983B,大華優利美公債20,上櫃,bond,active,skip
00983D,主動富邦複合收益,上市,bond,active,skip
00984A,主動安聯台灣高息,上市,equity,active,
00984B,大華優利美A債15,上櫃,bond,active,skip
00984D,主動聯博全球非投,上市,bond,active,skip
00985A,主動野村台灣50,上市,equity,active,
00985B,群益ESG投等債0-5,上市,bond,active,skip
00985D,主動貝萊德優投等,上櫃,bond,active,skip
00986A,主動台新龍頭成長,上市,equity,active,
00986B,FT金融債10+,上櫃,bond,active,skip
00986D,主動復華金融債息,上櫃,bond,active,skip
00987A,主動台新優勢成長,上市,equity,active,
00987B,野村10+澳洲公債,上櫃,bond,active,skip
00987D,主動統一美債量化,上櫃,bond,active,skip
00988A,主動統一全球創新,上市,equity,active,
00988B,玉山嚴選非投債,上櫃,bond,active,skip
00989A,主動摩根美國科技,上市,equity,active,
00989B,台新美國非投等債,上櫃,bond,active,skip
00990A,主動元大AI新經濟,上市,equity,active,
00990B,國泰收益非投等債,上櫃,bond,active,skip
00991A,主動復華未來50,上市,equity,active,
00991B,貝萊德A級公司債,上市,bond,active,skip
00992A,主動群益科技創新,上市,equity,active,
00993A,主動安聯台灣,上市,equity,active,
00994A,主動第一金台股優,上市,equity,active,
00995A,主動中信台灣卓越,上市,equity,active,
00996A,主動兆豐台灣豐收,上市,equity,active,
00997A,主動群益美國增長,上市,equity,active,
00998A,主動復華金融股息,上櫃,equity,active,
00999A,主動野村臺灣高息,上市,equity,active,
