market,date,rank,code,name,trade_value,trade_volume_shares,closing_price,change,transactions
TWSE,2026-03-23,12,2368,金像電,9661948252.0,10072083.0,962.0,26.0,18228.0
TWSE,2026-03-23,13,8046,南電,8171346146.0,15708760.0,534.0,7.0,21689.0
TWSE,2026-03-23,14,2367,燿華,7502807076.0,103569516.0,71.3,1.7,72940.0
TWSE,2026-03-23,15,2327,國巨*,7243032574.0,28523889.0,253.0,18.0,35468.0
TWSE,2026-03-23,16,00981A,主動統一台股增長,6995941499.0,343144341.0,20.34,0.68,132199.0
TWSE,2026-03-23,17,3481,群創,6811554679.0,269438843.0,25.0,1.25,89833.0
TWSE,2026-03-23,18,2449,京元電子,6696243758.0,23004822.0,286.0,22.0,33224.0
TWSE,2026-03-23,19,2337,旺宏,6664469545.0,44574953.0,148.5,11.5,51701.0
TWSE,2026-03-23,20,00919,群益台灣精選高息,6339670693.0,282432524.0,22.44,0.53,127345.0
TPEx,2026-03-24,1,8299,群聯,19405110000.0,11437000.0,1685.0,-115.0,8285.0
TPEx,2026-03-24,2,3105,穩懋,12036715500.0,37348000.0,313.5,-1.5,26512.0
TPEx,2026-03-24,3,6187,萬潤,11111222000.0,12735000.0,869.0,39.0,10328.0
TPEx,2026-03-24,4,4991,環宇-KY,8856131000.0,21377000.0,397.5,12.5,14206.0
TPEx,2026-03-24,5,6274,台燿,8410236000.0,15379000.0,541.0,3.0,11212.0
TPEx,2026-03-24,6,1815,富喬,7253906800.0,71740000.0,98.8,-4.7,37544.0
TPEx,2026-03-24,7,4979,華星光,6057181500.0,15329000.0,387.0,7.0,11982.0
TPEx,2026-03-24,8,3211,順達,5548257500.0,17442000.0,316.0,15.5,12356.0
TPEx,2026-03-24,9,5274,信驊,4914275000.0,436000.0,10910.0,-555.0,430.0
TPEx,2026-03-24,10,1785,光洋科,4891828100.0,51600000.0,89.5,-1.3,23531.0
TPEx,2026-03-24,11,6223,旺矽,4866340000.0,1277000.0,3670.0,-45.0,1203.0
TPEx,2026-03-24,12,3260,威剛,4572008500.0,12000000.0,386.5,-25.5,7952.0
TPEx,2026-03-24,13,3363,上詮,4301297000.0,6290000.0,665.0,4.0,5335.0
TPEx,2026-03-24,14,6510,精測,4288155000.0,1316000.0,3200.0,-210.0,1239.0
TPEx,2026-03-24,15,3324,雙鴻,4141162000.0,4079000.0,1005.0,0.0,3488.0
